cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,tile_k,tile_m,tile_n,pack,splitK,us,kernelName,err_ratio,tflops,bw
256,312,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,7,64,64,64,1,1,9.379,hgemm_bf16_64x64x64_S2TN_BP,0.0,244.17,1293.57
256,320,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,26,128,64,128,1,1,7.4296,hgemm_bf16_64x128x128_S2TN_BP,0.0,180.65,961.48
256,320,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,8.9195,hgemm_bf16_96x64x64_S2TN_BP,0.0,263.33,1373.98
256,328,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,28,128,96,64,1,1,7.3595,hgemm_bf16_96x64x128_S2TN_BP,0.0,186.93,980.66
256,328,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,9.379,hgemm_bf16_96x64x64_S2TN_BP,0.0,256.69,1319.77
256,328,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,11,64,96,128,1,1,24.039,hgemm_bf16_96x128x64_S2TN_BP,0.0,400.6,1472.85
256,336,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,8.879,hgemm_bf16_96x64x64_S2TN_BP,0.0,277.76,1407.93
256,336,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,11,64,96,128,1,1,24.1195,hgemm_bf16_96x128x64_S2TN_BP,0.0,409.01,1474.05
256,344,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,28,128,96,64,1,1,6.699,hgemm_bf16_96x64x128_S2TN_BP,0.0,215.38,1099.36
256,344,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,9.999,hgemm_bf16_96x64x64_S2TN_BP,0.0,252.52,1262.51
