gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,8,7168,4608,21,0,9.5886,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,55.12,1736.25,0.0
gfx950,256,16,7168,1024,20,0,3.2302,triton_gemm_afp4wfp4_preshuffle,72.71,1209.7,0.0
gfx950,256,16,7168,4608,21,0,10.387,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,101.76,1615.61,0.0
gfx950,256,32,7168,1024,14,0,3.4731,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,135.26,1193.5,0.0
gfx950,256,32,7168,4608,29,0,10.6068,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,199.3,1607.23,0.0
gfx950,256,64,7168,1024,20,0,3.5986,triton_gemm_afp4wfp4_preshuffle,261.08,1283.91,0.0
gfx950,256,64,7168,4608,21,0,10.8416,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,389.97,1621.53,0.0
gfx950,256,128,7168,1024,14,0,4.052,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,463.73,1374.77,0.0
gfx950,256,128,7168,4608,21,0,10.8814,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,777.08,1713.47,0.0
gfx950,256,256,7168,1024,0,0,5.1697,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,726.95,1445.17,0.0
gfx950,256,256,7168,4608,29,0,11.9871,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1410.8,1733.11,0.0
gfx950,256,512,7168,1024,8,0,6.3521,a4w4_blockscale_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,1183.26,1774.56,0.0
gfx950,256,512,7168,4608,42,0,16.7699,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x128E,2016.88,1492.84,0.0
gfx950,256,1024,7168,1024,8,0,9.8778,a4w4_blockscale_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,1521.84,1910.79,0.0
gfx950,256,1024,7168,4608,53,0,24.7988,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x128E,2727.78,1353.07,0.0
gfx950,256,2048,7168,1024,54,0,15.6971,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1915.31,2171.02,0.0
gfx950,256,2048,7168,4608,54,0,35.4237,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3819.24,1428.25,0.0
gfx950,256,4096,7168,1024,54,0,27.3383,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2199.46,2358.87,0.0
gfx950,256,4096,7168,4608,54,0,75.3418,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3591.41,1123.85,0.0
gfx950,256,8192,7168,1024,35,0,54.2216,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x896E,2217.92,2310.98,0.0
gfx950,256,8192,7168,4608,45,0,141.2117,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3832.3,1082.28,0.0
gfx950,256,16384,7168,1024,54,0,100.3908,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2395.82,2459.78,0.0
gfx950,256,16384,7168,4608,54,0,245.9159,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4401.23,1175.79,0.0
gfx950,256,1,9216,7168,37,0,14.8363,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,8.91,2227.79,0.0
gfx950,256,2,9216,7168,29,0,14.3596,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,18.4,2303.28,0.0
